"down","ydstogo","plays","avg_ep","avp_wp"
1,1,2,3.86781234771479,0.729175597429276
1,4,1,1.48705820023315,0.476662993431091
1,5,134,2.72304049372124,0.526258701884434
1,6,1,2.7896722878213,0.23033133149147
1,8,1,2.35020409757271,0.636361360549927
1,10,16809,2.54928527590894,0.511859330240265
2,1,767,2.73845270006125,0.500454020497356
2,2,671,2.60991413516349,0.512910223055594
2,3,764,2.45432938145293,0.48867110098184
2,4,995,2.42607449140723,0.505648029982431
2,5,1191,2.2809658322645,0.512105689845526
2,6,1248,2.17622527985124,0.521101643246719
2,7,1209,2.15508833527551,0.530678667409087
2,8,1137,2.04633883859392,0.563664239088279
2,9,963,2.01484407538559,0.548785206081778
2,10,3154,2.016582531592,0.461731835391171
3,1,1057,2.19402746374857,0.518864122081822
3,2,770,1.93431839681814,0.509780055999094
3,3,699,1.7158832384411,0.51554992556157
3,4,718,1.654820118535,0.511694647128627
3,5,768,1.53173845243934,0.495300573049579
3,6,735,1.39171034800004,0.496368656825438
3,7,649,1.37376239531624,0.508166933048283
3,8,555,1.31361274187094,0.503825170273915
3,9,443,1.21644550334172,0.508137897836755
3,10,772,1.27966691462266,0.43809323366578
4,1,392,0.698295550970141,0.426295942756654
4,2,168,0.407968153891228,0.345110587212167
4,3,82,0.339620943710764,0.369270334382369
4,4,72,0.26506495533815,0.266440494193274
4,5,77,0.190226166819029,0.19275286689209
4,6,44,0.0613893218661277,0.217146026939603
4,7,31,0.0251482464992742,0.255084290349435
4,8,32,0.0510174689534324,0.173693951488985
4,9,14,0.119171682192245,0.107590123114538
4,10,52,0.104048028861423,0.0872525047563193
